Date,Company,Energy_Usage_kWh,Fuel_Consumption_Liters,Transport_Distance_km,Production_Quantity_kg,CO2_Emissions_kg,Location
04/03/2025,Yates-Lozano,4016,330,552,535,3425.0,"77791 Emily Spurs Suite 586, Lake Shellyton, NM 38413"
05/03/2025,"Miller, Parker and Fox",10869,289,1160,1184,7158.1,"6162 Simmons Pines Apt. 121, Lake Stephanieview, KY 90902"
06/03/2025,"Anthony, Santana and Jones",9439,324,1283,519,6895.0,"246 Donovan Freeway Suite 424, North Cynthiatown, MI 11040"
07/03/2025,"Baker, Beard and Bell",10892,484,1114,2868,7572.0,"16150 Gutierrez Lane, West Monique, WA 79145"
08/03/2025,Porter Group,9863,476,108,899,5329.6,"236 Carol Glens Suite 383, West Ashleyshire, SC 02234"
09/03/2025,Hunter LLC,10916,382,1356,1471,7762.200000000001,"9490 Morgan Spur Suite 986, Gainesborough, SC 86804"
10/03/2025,"Waters, Hernandez and Keller",11529,545,1222,2406,8173.700000000001,"90022 Palmer Estate Apt. 594, North Travisside, WY 30939"
11/03/2025,Johnson-Mcgee,3878,220,915,1666,3748.2,"911 Alexander Trace, Garymouth, NM 71603"
12/03/2025,James and Sons,7887,215,307,1615,4244.900000000001,"PSC 6836, Box 6339, APO AP 27036"
13/03/2025,Butler-Cox,7859,560,1254,1333,6800.800000000001,"470 Michael Mill, Wilsonland, PA 84966"
14/03/2025,Fuller-Wood,9331,332,503,2323,5467.799999999999,"5322 Jennifer Curve Suite 227, Mariefurt, HI 20107"
15/03/2025,Allen LLC,11571,358,251,2482,5975.200000000001,"19886 Humphrey Rapids, Anthonyton, RI 89706"
16/03/2025,Shah and Sons,11684,458,153,1353,6094.0,"9254 Catherine Union Apt. 261, Englishside, NJ 86183"
17/03/2025,Graham Group,10208,297,1243,550,7063.1,"9681 Jim Underpass Suite 404, South Danieltown, IN 15532"
18/03/2025,"Rodriguez, Diaz and Bright",8276,555,727,1074,6006.5,"310 Stephen Walk, Hernandezburgh, ME 26766"
19/03/2025,Arnold Ltd,5062,510,686,1648,4534.6,"0496 Miller Path Suite 552, Abigailfort, SC 42514"
20/03/2025,Davis-Humphrey,3064,236,203,2697,2181.0,"590 Andrew Forks, Meganberg, NE 33742"
21/03/2025,Bridges-Chandler,11006,417,353,2861,6080.3,"442 Miller Lodge Apt. 652, Kendramouth, NM 50218"
22/03/2025,Estes Group,5568,264,1350,2852,5317.200000000001,"056 Alejandra Falls, Kendraburgh, WI 24255"
23/03/2025,"Vasquez, Rogers and Kennedy",8463,324,1235,2215,6418.200000000001,"6169 Angela Courts, Lake Jameschester, TX 03770"
24/03/2025,"Bowen, Jackson and Robinson",5027,406,609,1181,4122.0,"Unit 0238 Box 3562, DPO AE 66041"
25/03/2025,"Keith, Lara and Wang",5695,333,198,1337,3466.9,"Unit 3314 Box 2989, DPO AA 97320"
26/03/2025,Clark LLC,8258,271,252,1577,4434.3,"225 Ward Mount Apt. 490, East Laurieview, AZ 57118"
27/03/2025,"Kelley, Lewis and Thomas",8618,251,1013,2991,5898.1,"628 Taylor Pine, Williamsonchester, ID 95152"
28/03/2025,"Greer, Andrews and Cantrell",9736,562,977,2811,7058.0,"PSC 3035, Box 5661, APO AE 43387"
29/03/2025,"Riddle, Mendoza and Johnson",3391,414,437,2095,3178.0,"Unit 5633 Box 1563, DPO AP 29864"
30/03/2025,"Hart, Bullock and Lane",8892,473,921,504,6397.1,"637 Schmidt Pike Suite 996, New David, CT 16759"
31/03/2025,Peters Ltd,6561,259,1286,1626,5586.700000000001,"154 Janet Manors Apt. 494, New Alexis, DC 65955"
01/04/2025,"Evans, Gonzalez and Sellers",9184,195,1056,1719,6061.900000000001,"4930 Shelly Stream, North Jasmine, TX 71228"
02/04/2025,Alvarez LLC,6099,571,260,1273,4335.1,"4297 Gardner Estate Suite 006, West Jeanberg, MT 60792"
03/04/2025,Smith-Martinez,9278,332,900,1376,6161.200000000001,"77458 Stout Brook Apt. 180, Josephbury, KY 99507"
04/04/2025,"Rogers, Hicks and Griffin",11392,279,497,1491,6148.900000000001,"5543 Kenneth Crossroad Apt. 752, South Matthewchester, DC 68610"
05/04/2025,Floyd-Miller,6104,212,1400,546,5491.6,"18991 Roberts Estate, Gouldbury, HI 84156"
06/04/2025,"Craig, Solis and Maynard",10215,417,915,768,6775.5,"8613 Casey Flats, Lake Evantown, IL 81272"
07/04/2025,"Pierce, Jones and Best",5454,596,1258,869,5936.0,"34965 Stephanie Walk Apt. 621, West Leahshire, MN 30930"
08/04/2025,Bailey Inc,11996,541,1318,1135,8523.300000000001,"863 Scott Forks Apt. 349, Davisburgh, MT 02678"
09/04/2025,"Munoz, Miller and Meza",5731,151,500,1629,3569.9,"549 Glen Circles, Holdenfurt, DC 81066"
10/04/2025,"Fitzgerald, Gilbert and Hansen",11154,367,739,2193,6709.3,"USCGC Anderson, FPO AE 83812"
